"","Name","length","color"
"1","Dung Beetle",2.15031008049846,"Green"
"2","Firefly",4.15322054177523,"Yellow"
"3","Ladybug",2.6359076872468,"Blue"
"4","Stag Beetle",4.53206961601973,"Blue"
"5","Ladybug",4.76186913717538,"Green"
"6","Stag Beetle",1.18222599755973,"Red"
"7","Dung Beetle",3.11242195218801,"Black"
"8","Jewel Beetle",4.56967617757618,"Blue"
"9","Jewel Beetle",3.2057400578633,"Blue"
"10","Firefly",2.82645894121379,"Yellow"
"11","Ladybug",4.82733338139951,"Blue"
"12","Dung Beetle",2.81333662476391,"Black"
"13","Ladybug",3.71028254181147,"Red"
"14","Ladybug",3.29053360782564,"Red"
"15","Firefly",1.41169873066247,"Green"
"16","Dung Beetle",4.59929988160729,"Red"
"17","Ladybug",1.98435093741864,"Blue"
"18","Firefly",1.16823813412338,"Red"
"19","Jewel Beetle",2.31168287713081,"Black"
"20","Firefly",4.81801459658891,"Yellow"
